update, mean_fitness, min_fitness, max_fitness, inferiority, num_genotypes, total_orgs, ave_depth, num_roots, mrca_depth, diversity, phylogenetic_diversity, mean_pairwise_distance, mean_evolutionary_distinctiveness, min_evolutionary_distinctiveness, max_evolutionary_distinctiveness, phenotypic_richness, phenotypic_entropy, niche_width_mean, niche_width_min, niche_width_max, always_used_mean, always_used_min, always_used_max, sometimes_used_mean, sometimes_used_min, sometimes_used_max, failed_to_reproduce, num_orgs,seed,selection,sel_param
170,-8183.09,-1363880.0,0.16484100000000002,-49642.4,474,500,111.55799999999999,1,1,8.86107,55279,187.912,83.601,62,139,6,0.194298, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
180,-8183.09,-818325.0,0.165418,-49469.2,478,500,118.52,1,1,8.87556,58760,187.49900000000002,88.1673,72,117,3,0.101886, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
190,-8183.09,-1022910.0,0.16509100000000002,-49567.2,482,500,125.556,1,1,8.89156,62278,200.699,92.7607,62,190,2,0.038194900000000004, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
200,-8183.09,-454625.0,0.166957,-49013.1,472,500,131.958,1,1,8.851560000000001,65479,207.645,98.7572,85,128,6,0.226149, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
210,-8183.09,-818325.0,0.165376,-49481.8,471,500,138.142,1,1,8.84454,68571,216.933,102.588,70,134,7,0.227365, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
220,-8183.09,-1022910.0,0.165028,-49585.9,476,500,143.35,1,1,8.86454,71175,209.37099999999998,108.83,99,135,3,0.13150699999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
230,-8183.09,-409163.0,0.16705,-48986.0,475,500,149.792,1,1,8.86507,74396,221.738,112.72399999999999,102,168,3,0.101886, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
240,-8183.63,-454625.0,0.16702,-48998.1,473,500,155.75,1,1,8.85005,77375,207.887,118.54700000000001,110,208,2,0.0811678, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
250,-8185.77,-1363880.0,0.165001,-49610.6,465,500,161.722,1,1,8.81752,80361,217.773,122.90100000000001,117,140,4,0.135507, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
260,-8250.0,-2045810.0,0.16489600000000001,-50031.4,468,500,169.30599999999998,1,1,8.82985,84153,227.08700000000002,127.369,117,165,5,0.143307, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
270,-8184.88,-1022910.0,0.165404,-49484.2,473,500,175.46400000000003,1,1,8.853069999999999,87232,246.75,131.881,123,161,4,0.14791400000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
280,-89.9554,-12071.5,0.169658,-530.214,429,500,190.93400000000003,1,178,8.529069999999999,6467,12.4859,4.066409999999999,1,9,24,1.4556799999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
290,-8251.22,-4091630.0,0.169932,-48556.1,466,500,198.678,1,194,8.82356,2339,9.2582,4.0527,1,8,25,0.925989, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
300,-16350.6,-4033290.0,0.17038499999999998,-95962.8,473,500,204.856,1,194,8.85556,5428,21.1554,8.06983,4,18,25,0.877819, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
310,-16281.8,-4058290.0,0.170846,-95301.1,470,500,211.21599999999998,1,194,8.84205,8608,33.2977,12.9031,8,28,28,1.08673, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
320,-16443.6,-4058300.0,0.170073,-96685.7,469,500,217.878,1,194,8.83254,11939,44.8762,16.9951,10,38,24,1.00546, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
