update, mean_fitness, min_fitness, max_fitness, inferiority, num_genotypes, total_orgs, ave_depth, num_roots, mrca_depth, diversity, phylogenetic_diversity, mean_pairwise_distance, mean_evolutionary_distinctiveness, min_evolutionary_distinctiveness, max_evolutionary_distinctiveness, phenotypic_richness, phenotypic_entropy, niche_width_mean, niche_width_min, niche_width_max, always_used_mean, always_used_min, always_used_max, sometimes_used_mean, sometimes_used_min, sometimes_used_max, failed_to_reproduce, num_orgs,seed,selection,sel_param
0,0.01,0.01,0.01,1,500,500,0.998,1,0,8.96658,499,1.996,0.0,0,0,497,8.95058, -nan,0,0, -nan,0,0, -nan,0,0,1,500,63,tournament,-1
10,0.01,0.01,0.01,1,500,500,10.984000000000002,1,0,8.96658,5492,21.7603,4.95596,2,10,484,8.86795, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
20,0.01,0.01,0.01,1,500,500,20.968000000000004,1,0,8.96658,10484,41.0,9.48649,6,20,486,8.892539999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
30,0.01,0.01,0.01,1,500,500,30.951999999999998,1,0,8.96658,15476,60.1344,14.2142,10,30,490,8.90507, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
40,0.01,0.01,0.01,1,500,500,40.946,1,0,8.96658,20473,78.7441,18.7708,14,31,482,8.82935, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
50,0.01,0.01,0.01,1,500,500,50.942,1,0,8.96658,25471,97.3837,23.5776,19,48,470,8.73448, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
60,0.01,0.01,0.01,1,500,500,60.891999999999996,1,0,8.96658,30446,114.95299999999999,28.7147,21,44,476,8.77973, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
70,0.01,0.01,0.01,1,500,500,70.816,1,0,8.96658,35408,133.012,33.1632,24,45,467,8.71285, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
80,0.01,0.01,0.01,1,500,500,80.75399999999999,1,0,8.96658,40377,150.752,38.4955,32,71,475,8.77895, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
90,0.01,0.01,0.01,1,500,500,90.75,1,0,8.96658,45375,167.217,43.3824,30,69,476,8.78731, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
100,0.01,0.01,0.01,1,500,500,100.88799999999999,1,0,8.96658,50444,185.179,47.2462,32,66,478,8.803360000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
110,0.01,0.01,0.01,1,500,500,110.9,1,0,8.96658,55450,201.922,51.1702,38,106,475,8.76419, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
120,0.01,0.01,0.01,1,500,500,120.85799999999999,1,0,8.96658,60429,219.207,56.4625,41,94,481,8.851560000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
130,0.01,0.01,0.01,1,500,500,130.892,1,0,8.96658,65446,234.80700000000002,62.8118,56,105,463,8.63855, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
140,0.01,0.01,0.01,1,500,500,140.92,1,0,8.96658,70460,253.575,68.7628,53,83,453,8.52951, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
150,0.01,0.01,0.01,1,500,500,150.88,1,0,8.96658,75440,273.553,73.3614,64,100,473,8.74917, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
160,0.01,0.01,0.01,1,500,500,160.9,1,0,8.96658,80450,290.368,78.8088,73,133,462,8.67394, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
170,0.01,0.01,0.01,1,500,500,170.9,1,0,8.96658,85450,307.442,83.7798,78,112,465,8.688260000000001, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
180,0.01,0.01,0.01,1,500,500,180.86599999999999,1,0,8.96658,90433,318.062,88.7257,83,130,474,8.743139999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
190,0.01,0.01,0.01,1,500,500,190.91400000000002,1,0,8.96658,95457,329.782,93.7858,87,120,469,8.77009, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
200,0.01,0.01,0.01,1,500,500,200.892,1,0,8.96658,100446,344.969,98.6016,66,128,457,8.59573, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
210,0.01,0.01,0.01,1,500,500,210.93599999999998,1,0,8.96658,105468,355.912,103.579,97,122,467,8.695139999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
220,0.01,0.01,0.01,1,500,500,220.924,1,0,8.96658,110462,361.95300000000003,108.428,102,127,461,8.66426, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
230,0.01,0.01,0.01,1,500,500,230.892,1,0,8.96658,115446,369.014,112.639,83,140,464,8.62988, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
240,0.01,0.01,0.01,1,500,500,240.88400000000001,1,0,8.96658,120442,379.045,118.441,114,178,424,8.09859, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
250,0.01,0.01,0.01,1,500,500,250.894,1,0,8.96658,125447,363.63800000000003,120.35799999999999,82,145,420,8.088519999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
260,0.01,0.01,0.01,1,500,500,260.97,1,0,8.96658,130485,387.282,127.913,120,141,447,8.48908, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
270,0.01,0.01,0.01,1,500,500,270.916,1,0,8.96658,135458,405.846,133.062,124,166,427,8.221789999999999, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
280,0.01,0.01,0.01,1,500,500,280.936,1,0,8.96658,140468,437.288,137.63299999999998,127,160,442,8.39405, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
290,0.01,0.01,0.01,1,500,500,290.908,1,0,8.96658,145454,451.444,142.3,121,168,435,8.25688, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
300,0.01,0.01,0.01,1,500,500,300.878,1,0,8.96658,150439,422.70300000000003,146.813,136,164,447,8.41087, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
310,0.01,0.01,0.01,1,500,500,310.856,1,0,8.96658,155428,389.86199999999997,151.931,142,181,469,8.69815, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
320,0.01,0.01,0.01,1,500,500,320.846,1,0,8.96658,160423,397.254,155.66,146,178,465,8.66257, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
330,0.01,0.01,0.01,1,500,500,330.75800000000004,1,0,8.96658,165379,406.024,161.507,151,179,473,8.75619, -nan,0,0, -nan,0,0, -nan,0,0,500,500,63,tournament,-1
